month;sales
01/01/2021 15:45;39,3
01/01/2021 15:50;39,4
01/01/2021 15:55;39
01/01/2021 16:00;38,8
01/01/2021 16:05;38,6
01/01/2021 16:10;38,3
01/01/2021 16:15;38,4
01/01/2021 16:20;38,1
01/01/2021 16:25;37
01/01/2021 16:30;37,4
01/01/2021 16:35;37,4
01/01/2021 16:40;37
01/01/2021 16:45;36,4
01/01/2021 16:50;36,4
01/01/2021 16:55;36,4
01/01/2021 17:00;35,7
01/01/2021 17:05;35,9
01/01/2021 17:10;35,7
01/01/2021 17:15;35,1
01/01/2021 17:20;34,9
01/01/2021 17:25;34,6
01/01/2021 17:30;34,4
01/01/2021 17:35;34,2
01/01/2021 17:40;33,8
01/01/2021 17:45;33,6
01/01/2021 17:50;33,2
01/01/2021 17:55;33,2
01/01/2021 18:00;32,8
01/01/2021 18:05;32,3
01/01/2021 18:10;31,9
01/01/2021 18:15;31,4
01/01/2021 18:20;31
01/01/2021 18:25;30,5
01/01/2021 18:30;30,2
01/01/2021 18:35;30,1
01/01/2021 18:40;29,8
01/01/2021 18:45;29,7
01/01/2021 18:50;29,5
01/01/2021 18:55;29,4
01/01/2021 19:00;29,3
01/01/2021 19:05;29,1
01/01/2021 19:10;28,95
01/01/2021 19:15;28,9
01/01/2021 19:20;28,8
01/01/2021 19:25;28,5
01/01/2021 19:30;28,3
01/01/2021 19:35;28,1
01/01/2021 19:40;27,9
01/01/2021 19:45;28
01/01/2021 19:50;27,8
01/01/2021 19:55;27,7
01/01/2021 20:00;27,8
01/01/2021 20:05;27,6
01/01/2021 20:10;27,5
01/01/2021 20:15;27,2
01/01/2021 20:20;27
01/01/2021 20:25;27,1
01/01/2021 20:30;27,1
01/01/2021 20:35;26,75
01/01/2021 20:40;26,4
01/01/2021 20:45;26,3
01/01/2021 20:50;26,2
01/01/2021 20:55;26,1
01/01/2021 21:00;26,1
01/01/2021 21:05;26,1
01/01/2021 21:10;26,1
01/01/2021 21:15;26,1
01/01/2021 21:20;26,1
01/01/2021 21:25;26,1
01/01/2021 21:30;26,1
01/01/2021 21:35;26,1
01/01/2021 21:40;26,1
01/01/2021 21:45;26,1
01/01/2021 21:50;26,1
01/01/2021 21:55;26,1
01/01/2021 22:00;26,1
01/01/2021 22:05;26,1
01/01/2021 22:10;26,1
01/01/2021 22:15;26,1
01/01/2021 22:20;26,1
01/01/2021 22:25;26,1
01/01/2021 22:30;26,1
01/01/2021 22:35;26,1
01/01/2021 22:40;26,1
01/01/2021 22:45;26,1
01/01/2021 22:50;26,1
01/01/2021 22:55;26,1
01/01/2021 23:00;26,1
01/01/2021 23:05;26,1
01/01/2021 23:10;26,1
01/01/2021 23:15;26,1
01/01/2021 23:20;26,1
01/01/2021 23:25;26,1
01/01/2021 23:30;26,1
01/01/2021 23:35;26,1
01/01/2021 23:40;26,1
01/01/2021 23:45;26,1
01/01/2021 23:50;26,1
01/01/2021 23:55;26,1
02/01/2021 00:00;26,1
02/01/2021 00:05;26,1
02/01/2021 00:10;26,1
02/01/2021 00:15;26,1
02/01/2021 00:20;26,1
02/01/2021 00:25;26,1
02/01/2021 00:30;26,1
02/01/2021 00:35;26,1
02/01/2021 00:40;26,1
02/01/2021 00:45;26,1
02/01/2021 00:50;26,1
02/01/2021 00:55;26,1
02/01/2021 01:00;26,1
02/01/2021 01:05;26,1
02/01/2021 01:10;26,1
02/01/2021 01:15;26,1
02/01/2021 01:20;26,1
02/01/2021 01:25;26,1
02/01/2021 01:30;26,1
02/01/2021 01:35;26,1
02/01/2021 01:40;26,1
02/01/2021 01:45;26,1
02/01/2021 01:50;26,1
02/01/2021 01:55;26,1
02/01/2021 02:00;26,1
02/01/2021 02:05;26,1
02/01/2021 02:10;26,1
02/01/2021 02:15;26,1
02/01/2021 02:20;26,1
02/01/2021 02:25;26,1
02/01/2021 02:30;26,1
02/01/2021 02:35;26,1
02/01/2021 02:40;26,1
02/01/2021 02:45;26,1
02/01/2021 02:50;26,1
02/01/2021 02:55;26,1
02/01/2021 03:00;23,5
02/01/2021 03:05;23,7
02/01/2021 03:10;23,6
02/01/2021 03:15;23,6
02/01/2021 03:20;23,6
02/01/2021 03:25;23,6
02/01/2021 03:30;23,6
02/01/2021 03:35;23,6
02/01/2021 03:40;23,6
02/01/2021 03:45;23,6
02/01/2021 03:50;23,6
02/01/2021 03:55;23,6
02/01/2021 04:00;23,6
02/01/2021 04:05;23,6
02/01/2021 04:10;23,6
02/01/2021 04:15;23,6
02/01/2021 04:20;23,6
02/01/2021 04:25;23,6
02/01/2021 04:30;23,6
